,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
198106,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,2,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
198107,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,3,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198108,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,4,"Dvořák:Symfonie č. 8 a 9, Legendy, Slovanské tance",Čf/symfonický Orch. Hl.m. Prahy Fok/ch. Mackerras,Čf,Supraphon
198109,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,5,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Super Projects
198110,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,6,Dvořák A.: Rusalka / Nebojte se klasiky! (10,Různí,Různí,Radioservis
198111,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,7,Brixi: Magnificat. Hudba Prahy 18. století,Hipocondria Ensemble/jan Hádek,Hipocondria Ensemble,Supraphon
198112,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,8,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198113,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,9,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
198114,CZ - ALBUMS CLASSICAL - TOP 10,2021,12,10,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
197580,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,1,Next Horizon,Vilém Veverka,Vilém Veverka,Supraphon
197581,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,2,Best of Classics,Různí,Různí,Supraphon
197582,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,3,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
197583,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,4,Score,2cellos,2cellos,Sony Music
197584,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,5,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
197585,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,6,"Mozart pro lepší učení, koncentraci a paměť",Různí,Různí,Supraphon
197586,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,7,Má vlast,Čf/kubelík,Čf,Supraphon
197587,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,8,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
197588,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,9,Let There Be Cello,2cellos,2cellos,Sony Music
197589,CZ - ALBUMS CLASSICAL - TOP 10,2021,2,10,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
197648,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,1,Orquestrina,Radek Baborák,Radek Baborák,Supraphon
197649,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
197650,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,3,Jiří Bělohlávek - Recollection,Různí,Různí,Supraphon
197651,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,4,Way of Life,Jaroslav Svěcený,Jaroslav Svěcený,Bon Art Music
197652,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,5,Best of Classics,Různí,Různí,Supraphon
197653,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,6,Live 1939 - Smetana - Má vlast,Talich Václav/česká Filharmonie,Talich Václav,Supraphon
197654,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,7,"Beethoven, L.v. Klavírní sonáty",Ivan Moravec,Ivan Moravec,Supraphon
197655,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,8,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
197656,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,9,České a moravské barokní varhany III,Jiří Reinberger,Jiří Reinberger,Supraphon
197657,CZ - ALBUMS CLASSICAL - TOP 10,2021,3,10,Chtěla bych tančit jen,Pavla Břínková,Pavla Břínková,Supraphon
197698,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,1,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
197699,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,2,Score,2cellos,2cellos,Sony Music
197700,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,3,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
197701,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,4,"Mozart pro lepší učení, koncentraci a paměť",Různí,Různí,Supraphon
197702,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,5,Way of Life,Jaroslav Svěcený,Jaroslav Svěcený,Bon Art Music
197703,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,6,Let There Be Cello,2cellos,2cellos,Sony Music
197704,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,7,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
197705,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,8,'Ah! Mio Cor' - Arias,Magdalena Kožená,Magdalena Kožená,Universal Music
197706,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,9,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
197707,CZ - ALBUMS CLASSICAL - TOP 10,2021,4,10,Čtvero ročních dob,Pavel Šporcl,Pavel Šporcl,Supraphon
197747,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,1,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
197748,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,2,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
197749,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,3,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
197750,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,4,Smetana: Má vlast,Čf/pešek,Čf,Nan
197751,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,5,Score,2cellos,2cellos,Sony Music
197752,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,6,Best of Czech Classics,Různí,Různí,Supraphon
197753,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,7,Dvořák A. - Vanda,Různí,Různí,Supraphon
197754,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,8,Historie psaná šelakem - Zlatý věk české operety 4,Různí,Různí,Supraphon
197755,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,9,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
197756,CZ - ALBUMS CLASSICAL - TOP 10,2021,5,10,Romantic Moments II,André Rieu,André Rieu,Universal Music
197797,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,1,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
197798,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,2,Septem dies/Hudba na pražské univerzitě 1360-1460,Schola Gregoriana Pragensis,Schola Gregoriana Pragensis,Supraphon
197799,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,3,Magical Maastricht,André Rieu,André Rieu,Universal Music
197800,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,4,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
197801,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,5,Phidylé,Kateřina Kněžíková/janáčkova Filharmonie Ostrava,Kateřina Kněžíková,Supraphon
197802,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,6,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
197803,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,7,Adventní mše Rorate v českých kancionálech,Adventus Domini / Schola Gregoriana Pragensis,Adventus Domini,Supraphon
197804,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,8,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
197805,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,9,Haydn Songs,Janková Martina,Janková Martina,Supraphon
197806,CZ - ALBUMS CLASSICAL - TOP 10,2021,6,10,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
197855,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,1,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
197856,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,2,Hudba pro Prahu,Symfonický Orchestr Hl.m. Prahy Fok/t. Brauner,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
197857,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,3,Beethoven: Kompletní klavírní tria,Sukovo Trio,Sukovo Trio,Supraphon
197858,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,4,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
197859,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,5,Let There Be Cello,2cellos,2cellos,Sony Music
197860,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,6,Magical Maastricht,André Rieu,André Rieu,Universal Music
197861,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,7,"Novák: Klavírní koncert, Toman a lesní panna",Bartoš/sočr/hrůša,Bartoš,Supraphon
197862,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,8,Love Letters,Rieu Andre,Rieu Andre,Universal Music
197863,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,9,Septem dies/Hudba na pražské univerzitě 1360-1460,Schola Gregoriana Pragensis,Schola Gregoriana Pragensis,Supraphon
197864,CZ - ALBUMS CLASSICAL - TOP 10,2021,7,10,Score,2cellos,2cellos,Sony Music
197905,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,1,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
197906,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,2,Beethoven: Kompletní klavírní tria,Sukovo Trio,Sukovo Trio,Supraphon
197907,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,3,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
197908,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,4,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
197909,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,5,Hudba pro Prahu,Symfonický Orchestr Hl.m. Prahy Fok/t. Brauner,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
197910,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,6,Let There Be Cello,2cellos,2cellos,Sony Music
197911,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,7,Talich Special Edition 6-Má vlast,Čf/talich,Čf,Supraphon
197912,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,8,50 Great Tracks,Luciano Pavarotti,Luciano Pavarotti,Universal Music
197913,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,9,Čtvero ročních dob,Pavel Šporcl,Pavel Šporcl,Supraphon
197914,CZ - ALBUMS CLASSICAL - TOP 10,2021,8,10,Best of Johann Strauss,Různí,Různí,Supraphon
197965,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,1,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
197966,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,2,Brixi: Magnificat. Hudba Prahy 18. století,Hipocondria Ensemble/jan Hádek,Hipocondria Ensemble,Supraphon
197967,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,3,"Martinů: Fresky, Paraboly, Rytiny",Sočr/netopil,Sočr,Supraphon
197968,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,4,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
197969,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,5,"Dvořák:Symfonie č. 8 a 9, Legendy, Slovanské tance",Čf/symfonický Orch. Hl.m. Prahy Fok/ch. Mackerras,Čf,Supraphon
197970,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,6,Beethoven: Kompletní klavírní tria,Sukovo Trio,Sukovo Trio,Supraphon
197971,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,7,A. Dvořák - Rusalka - opera,Různí,Různí,Supraphon
197972,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,8,Hudba pro Prahu,Symfonický Orchestr Hl.m. Prahy Fok/t. Brauner,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
197973,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,9,Liszt: Freudvoll und leidvoll,Jonas Kaufmann & Helmut Deutsch,Jonas Kaufmann,Sony Music
197974,CZ - ALBUMS CLASSICAL - TOP 10,2021,9,10,Queen of Baroque,Cecilia Bartoli,Cecilia Bartoli,Universal Music
198159,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,1,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198160,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,2,"Martinů: Fresky, Paraboly, Rytiny",Sočr/netopil,Sočr,Supraphon
198161,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,3,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Super Projects
198162,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,4,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
198163,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,5,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
198164,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,6,Brixi: Magnificat. Hudba Prahy 18. století,Hipocondria Ensemble/jan Hádek,Hipocondria Ensemble,Supraphon
198165,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,7,Michna: Loutna česká,Musica Bohemica,Musica Bohemica,Supraphon
198166,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198167,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,9,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198168,CZ - ALBUMS CLASSICAL - TOP 10,2022,1,10,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
198629,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,1,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198630,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,2,Beneš: Kompletní smyčcové kvartety,Kvarteto Martinů,Kvarteto Martinů,Supraphon
198631,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,3,Gustav Mahler: Symphony No. 5,Čf/byčkov,Čf,Pentatone
198632,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,4,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198633,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,5,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198634,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,6,Insieme - Opera Duets,Jonas Kaufmann & Ludovic Tézier,Jonas Kaufmann,Sony Music
198635,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,7,Michna: Česká mariánská muzika - Lilium mezi trním,H. Blažíková/collegium Marianum,H. Blažíková,Supraphon
198636,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,8,A. Dvořák - Rusalka - opera,Různí,Různí,Supraphon
198637,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,9,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Supraphon
198638,CZ - ALBUMS CLASSICAL - TOP 10,2022,10,10,Way of Life,Jaroslav Svěcený,Jaroslav Svěcený,Bon Art Music
198679,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,1,Christmas Album,Veverka/janečková/ultimate W Band,Veverka,Supraphon
198680,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,2,"Tůma:Te Deum, Sinfonia ex C, Missa Veni Pater ...",Czech Ensemble Baroque,Czech Ensemble Baroque,Supraphon
198681,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,3,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198682,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,4,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
198683,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,5,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198684,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,6,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198685,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,7,Score,2cellos,2cellos,Sony Music
198686,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,8,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
198687,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,9,"Mysliveček: Hobojové kvintety, Smyčcové kvartety",Doležalovo Kvarteto/m.hrabánková,Doležalovo Kvarteto,Supraphon
198688,CZ - ALBUMS CLASSICAL - TOP 10,2022,11,10,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198729,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,1,Christmas Album,Veverka/janečková/ultimate W Band,Veverka,Supraphon
198730,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,2,Cesta světla/České a moravs.koledy a zpěvy vánoční,Orchestr Lidových Nástrojů Vus Ondráš/j.slavík,Orchestr Lidových Nástrojů Vus Ondráš,Supraphon
198731,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,3,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
198732,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,4,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198733,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,5,"Mozart pro lepší učení, koncentraci a paměť",Různí,Různí,Supraphon
198734,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,6,Klasika pro lepší spánek,Různí,Různí,Supraphon
198735,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,7,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198736,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,8,Best of Classics,Různí,Různí,Supraphon
198737,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,9,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198738,CZ - ALBUMS CLASSICAL - TOP 10,2022,12,10,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198209,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,1,Karel Ančerl Live Recordings,Čf/ančerl,Čf,Supraphon
198210,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,2,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
198211,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
198212,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,4,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198213,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,5,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198214,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,6,Michna: Loutna česká,Musica Bohemica,Musica Bohemica,Supraphon
198215,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,7,Best of Classics,Různí,Různí,Supraphon
198216,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,8,Gold Edition 11 Kabeláč: Mysterium času,Čf/ančerl,Čf,Supraphon
198217,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,9,Houslový koncert; Romance ...,Čf/neumann; Josef Suk,Čf,Supraphon
198218,CZ - ALBUMS CLASSICAL - TOP 10,2022,2,10,Let There Be Cello,2cellos,2cellos,Sony Music
198269,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,1,Ančerl - Gold Edition 2 - Dvořák - Symfonie č. 9,Čf/ančerl,Čf,Supraphon
198270,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,2,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198271,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,3,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198272,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,4,Elements/Nielsen-Hindemith-Barber-Tomasi-Pärt,Belfiato Quintet,Belfiato Quintet,Supraphon
198273,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,5,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198274,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,6,Reichenauer: Koncerty. Hudba Prahy 18. století,Collegium 1704/v. Luks,Collegium 1704,Super Projects
198275,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,7,Karel Ančerl Live Recordings,Čf/ančerl,Čf,Supraphon
198276,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,8,"Martinů: Fresky, Paraboly, Rytiny",Sočr/netopil,Sočr,Supraphon
198277,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,9,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Super Projects
198278,CZ - ALBUMS CLASSICAL - TOP 10,2022,3,10,Gold Edition 11 Kabeláč: Mysterium času,Čf/ančerl,Čf,Supraphon
198319,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,1,"Cesty / Janáček, Martinů, Schulhoff, Klein",Josef Špaček/tomáš Jamník,Josef Špaček,Supraphon
198320,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,2,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198321,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,3,Brentner J.J.I. -  Koncerty a árie,Různí,Různí,Supraphon
198322,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,4,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198323,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,5,"Schumann: Klavírní kvartety, Pohádková vyprávění",Dvořákovo Klavírní Kvarteto,Dvořákovo Klavírní Kvarteto,Supraphon
198324,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,6,Let There Be Cello,2cellos,2cellos,Sony Music
198325,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,7,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Super Projects
198326,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,8,Ančerl - Gold Edition 1 - Smetana: Má vlast,Čf/ančerl,Čf,Supraphon
198327,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,9,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
198328,CZ - ALBUMS CLASSICAL - TOP 10,2022,4,10,Jina,Martina Kociánová,Martina Kociánová,Universal Music
198369,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,1,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198370,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,2,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
198371,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,3,"Cesty / Janáček, Martinů, Schulhoff, Klein",Josef Špaček/tomáš Jamník,Josef Špaček,Supraphon
198372,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,4,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198373,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,5,Let There Be Cello,2cellos,2cellos,Sony Music
198374,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,6,Bach: Complete Sonatas & Partitas for Solo Violin,Arthur Grumiaux,Arthur Grumiaux,Universal Music
198375,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,7,"Novák: Klavírní koncert, Toman a lesní panna",Bartoš/sočr/hrůša,Bartoš,Supraphon
198376,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,8,Elements/Nielsen-Hindemith-Barber-Tomasi-Pärt,Belfiato Quintet,Belfiato Quintet,Supraphon
198377,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,9,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198378,CZ - ALBUMS CLASSICAL - TOP 10,2022,5,10,Dvořák: Klavírní kvartety č. 1 a č. 2,Dvořákovo Klavírní Kvarteto,Dvořákovo Klavírní Kvarteto,Supraphon
198429,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,1,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198430,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,2,Kompletní nahrávky 1939-1950,Marie Podvalová,Marie Podvalová,Supraphon
198431,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,3,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
198432,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,4,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198433,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,5,"Brahms, Glazunov, Sibelius: Horn Quintets",Radek Baborák / Baborák Ensemble,Radek Baborák,Animal Music
198434,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,6,Karel Ančerl Live Recordings,Čf/ančerl,Čf,Supraphon
198435,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,7,Mahler: Des Knaben Wunderhorn,Různí,Různí,Animal Music
198436,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,8,Let There Be Cello,2cellos,2cellos,Sony Music
198437,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,9,Vaňhal  J.K. - Symfonie,Různí,Různí,Supraphon
198438,CZ - ALBUMS CLASSICAL - TOP 10,2022,6,10,Best Of Vivaldi,Různí,Různí,Supraphon
198469,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,1,Best Of Dvořák,Různí,Různí,Supraphon
198470,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,2,Dvořák v Americe,Různí,Různí,Supraphon
